,Cell.line.name,Drug.name,IC50,A1BG,A1CF,A2M,A2ML1,A3GALT2,A4GALT,A4GNT,AAAS,AACS,AACSP1,AADAC,AADACL2,AADACL3,AADACL4,AADAT,AAGAB,AAK1,AAMDC,AAMP,AANAT,AAR2,AARD,AARS1,AARS2,AASDH
1,A704,CGP-60474,-1.901982805,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
2,A704,Wnt-C59,2.698921445,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
3,A704,Doxorubicin,-0.061053599,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
4,A704,Cisplatin,2.916126419,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
5,A704,Zibotentan,5.323599595,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
6,A704,VX-11e,2.38243898,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
7,A704,Lestaurtinib,-0.378062415,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
8,A704,KIN001-042,4.750275388,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
9,A704,KIN001-236,4.749248822,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
10,A704,Palbociclib,2.581097334,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
11,A704,Flavopiridol,-1.790017547,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
12,A704,AT-7519,3.382011982,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
13,A704,GSK429286A,3.33957529,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
14,A704,Epothilone B,-5.067602142,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
15,A704,Pictilisib,0.271777156,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
16,A704,Rapamycin,-1.858725602,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
17,A704,Linifanib,2.446603231,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
18,A704,NSC-87877,4.988796133,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
19,A704,JQ12,1.949444785,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
20,A704,BAM7,3.898465154,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
21,A704,CPI-613,4.518346381,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
22,A704,Vinorelbine,-0.485525171,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
23,A704,EHT-1864,3.861478135,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
24,A704,PF-00299804,2.474620945,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
25,A704,Dactolisib,-2.866835721,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
26,A704,PARP_0108,1.172963253,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
27,A704,JAK1_3715,4.639169963,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
28,A704,Shikonin,1.303456147,3.119,3.976,3.275,2.676,2.817,4.08,3.172,4.525,6.947,3.352,2.956,2.802,3.063,2.829,3.806,8.14,8.557,8.098,9.048,2.92,7.214,3.299,7.949,5.558,6.053
